iter	Passed	Remaining
726	13597	5105
727	13610	5085
728	13631	5067
729	13645	5046
730	13659	5026
731	13680	5008
732	13694	4988
733	13707	4967
734	13722	4947
735	13747	4931
736	13766	4912
737	13791	4896
738	13804	4875
739	13821	4856
740	13836	4836
741	13850	4816
742	13861	4794
743	13874	4774
744	13895	4756
745	13915	4737
746	13934	4719
747	13950	4699
748	13964	4679
749	13977	4659
750	13991	4638
751	14004	4618
752	14018	4598
753	14032	4578
754	14054	4560
755	14075	4542
756	14089	4522
757	14101	4501
758	14115	4481
759	14135	4463
760	14156	4446
761	14170	4425
762	14183	4405
763	14201	4386
764	14223	4369
765	14246	4352
766	14264	4333
767	14288	4316
768	14306	4297
769	14320	4277
770	14346	4261
771	14366	4242
772	14389	4225
773	14401	4205
774	14421	4186
775	14434	4166
776	14447	4146
777	14460	4126
778	14475	4106
779	14488	4086
780	14501	4066
781	14518	4047
782	14538	4029
783	14558	4011
784	14573	3991
785	14587	3971
786	14603	3952
787	14622	3933
788	14634	3913
789	14645	3893
790	14659	3873
791	14683	3856
792	14702	3837
793	14716	3818
794	14733	3799
795	14750	3780
796	14763	3760
797	14777	3740
798	14792	3721
799	14806	3701
800	14817	3681
801	14833	3662
802	14851	3643
803	14868	3624
804	14885	3605
805	14898	3585
806	14912	3566
807	14926	3546
808	14946	3528
809	14959	3509
810	14975	3489
811	14989	3470
812	15016	3453
813	15031	3434
814	15045	3415
815	15066	3397
816	15088	3379
817	15103	3360
818	15119	3341
819	15138	3323
820	15154	3304
821	15175	3286
822	15187	3266
823	15207	3248
824	15219	3228
825	15230	3208
826	15244	3188
827	15259	3169
828	15278	3151
829	15291	3131
830	15306	3112
831	15330	3095
832	15346	3076
833	15360	3057
834	15374	3038
835	15391	3019
836	15408	3000
837	15427	2982
838	15443	2963
839	15470	2946
840	15492	2929
841	15511	2910
842	15539	2894
843	15549	2874
844	15564	2855
845	15576	2835
846	15597	2817
847	15610	2798
848	15628	2779
849	15647	2761
850	15664	2742
851	15683	2724
852	15701	2705
853	15720	2687
854	15742	2669
855	15762	2651
856	15782	2633
857	15803	2615
858	15818	2596
859	15831	2577
860	15844	2557
861	15859	2538
862	15870	2519
863	15884	2500
864	15900	2481
865	15913	2462
866	15928	2443
867	15941	2424
868	15960	2405
869	15977	2387
870	15997	2369
871	16024	2352
872	16040	2333
873	16060	2315
874	16088	2298
875	16115	2281
876	16131	2262
877	16146	2243
878	16158	2224
879	16171	2205
880	16189	2186
881	16204	2168
882	16225	2149
883	16238	2130
884	16254	2112
885	16273	2093
886	16293	2075
887	16307	2056
888	16325	2038
889	16339	2019
890	16360	2001
891	16380	1983
892	16408	1966
893	16437	1949
894	16456	1930
895	16478	1912
896	16497	1894
897	16523	1876
898	16539	1858
899	16556	1839
900	16572	1820
901	16593	1802
902	16606	1783
903	16620	1765
904	16633	1746
905	16660	1728
906	16691	1711
907	16707	1692
908	16727	1674
909	16747	1656
910	16765	1637
911	16781	1619
912	16795	1600
913	16808	1581
914	16826	1563
915	16843	1544
916	16855	1525
917	16868	1506
918	16895	1489
919	16920	1471
920	16937	1452
921	16954	1434
922	16971	1415
923	16987	1397
924	17002	1378
925	17024	1360
926	17046	1342
927	17065	1324
928	17081	1305
929	17107	1287
930	17121	1268
931	17134	1250
932	17154	1231
933	17165	1212
934	17179	1194
935	17194	1175
936	17211	1157
937	17231	1138
938	17244	1120
939	17258	1101
940	17273	1083
941	17284	1064
942	17300	1045
943	17317	1027
944	17331	1008
945	17345	990
946	17362	971
947	17385	953
948	17403	935
949	17422	916
950	17437	898
951	17455	880
952	17479	862
953	17495	843
954	17514	825
955	17543	807
956	17562	789
957	17581	770
958	17605	752
959	17620	734
960	17634	715
961	17647	697
962	17660	678
963	17677	660
964	17704	642
965	17718	623
966	17737	605
967	17750	586
968	17764	568
969	17778	549
970	17792	531
971	17819	513
972	17837	494
973	17857	476
974	17869	458
975	17883	439
976	17895	421
977	17919	403
978	17931	384
979	17949	366
980	17967	347
981	17990	329
982	18016	311
983	18028	293
984	18042	274
985	18059	256
986	18079	238
987	18087	219
988	18098	201
989	18107	182
990	18116	164
991	18126	146
992	18135	127
993	18147	109
994	18164	91
995	18176	72
996	18193	54
997	18204	36
998	18219	18
999	18228	0
555	18
999	18582	0
966	35023	1195
967	35048	1158
968	35077	1122
969	35108	1085
970	35129	1049
971	35252	1015
972	35287	979
973	35315	942
974	35346	906
975	35376	869
976	35404	833
977	35459	797
978	35482	761
979	35502	724
980	35531	688
981	35553	651
982	35584	615
983	35631	579
984	35649	542
985	35670	506
986	35692	470
987	35714	433
988	35741	397
989	35770	361
990	35792	325
991	35813	288
992	35833	252
993	35854	216
994	35871	180
995	35901	144
996	35929	108
997	35958	72
998	35975	36
999	35994	0
