iter	Logloss
0	0.6826065509
1	0.6702830739
2	0.659692806
3	0.6487697963
4	0.6377155276
5	0.6280011922
6	0.6193530229
7	0.6079804358
8	0.5974378934
9	0.5875876768
10	0.579217507
11	0.5695214933
12	0.562178563
13	0.5548782906
14	0.5463169961
15	0.537817071
16	0.5301445731
17	0.5238646904
18	0.5155596211
19	0.507868189
20	0.5012908713
21	0.4934886181
22	0.4863800828
23	0.4782252625
24	0.4722718844
25	0.4656374855
26	0.4602527479
27	0.454510654
28	0.4485855381
29	0.4422766136
30	0.4360216795
31	0.4310367334
32	0.4262812259
33	0.4214033698
34	0.4161033909
35	0.4109253988
36	0.4051457704
37	0.4006292803
38	0.3965994285
39	0.3915810968
40	0.3858420657
41	0.3810709654
42	0.3766912196
43	0.3721525095
44	0.367978089
45	0.3637811424
46	0.3593556481
47	0.3553902842
48	0.3512490544
49	0.347805775
50	0.3441277107
51	0.3403394379
52	0.3360141838
53	0.331748322
54	0.3285466215
55	0.3246955872
56	0.3212175578
57	0.3175583443
58	0.3138373159
59	0.3112216866
60	0.3080638134
61	0.3051961634
62	0.3019188651
63	0.299562134
64	0.2966151272
65	0.2933670378
66	0.2906278346
67	0.2874676224
68	0.2852800745
69	0.2826891154
70	0.2802507999
71	0.2775715181
72	0.2752881851
73	0.272321715
74	0.2693812795
75	0.2671903067
76	0.2639949826
77	0.2615330271
78	0.2591460848
79	0.2572062137
80	0.2548578081
81	0.2526967404
82	0.2507807599
83	0.2489491484
84	0.2471571874
85	0.2453064188
86	0.2431336285
87	0.2413298892
88	0.2394401105
89	0.2373399665
90	0.2353626725
91	0.2336992138
92	0.2320355186
93	0.230416096
94	0.2291207418
95	0.2273211236
96	0.2250025951
97	0.2227435704
98	0.2212466776
99	0.2193202276
100	0.2176396168
101	0.2161494902
102	0.214065872
103	0.2125536369
104	0.2109603603
105	0.2091923735
106	0.2072843009
107	0.2055910765
108	0.204475723
109	0.2034139007
110	0.2017451934
111	0.2006484958
112	0.1994828969
113	0.1976418043
114	0.196235601
115	0.1947860439
116	0.1933439352
117	0.1922118751
118	0.1908841098
119	0.1897256949
120	0.1881866037
121	0.1866690225
122	0.1853976006
123	0.1842117866
124	0.1830304278
125	0.1820409872
126	0.1808097171
127	0.1797158457
128	0.1785738033
129	0.1775476219
130	0.1759631025
131	0.1748954188
132	0.173951142
133	0.1730096079
134	0.172004477
135	0.1708733218
136	0.1695670246
137	0.1684675008
138	0.1678130714
139	0.1669086122
140	0.1658868442
141	0.1647530994
142	0.1638902817
143	0.1629974477
144	0.1620402092
145	0.1610799636
146	0.1598073583
147	0.1590500574
148	0.1578747547
149	0.1571935389
150	0.1562998974
151	0.1553262724
152	0.1545519307
153	0.1538296442
154	0.1528902959
155	0.151888381
156	0.1509597945
157	0.1500196248
158	0.1490484224
159	0.1481402321
160	0.1471982385
161	0.1466642087
162	0.1459701287
163	0.1453756068
164	0.144576191
165	0.1437081107
166	0.1430146712
167	0.1423884065
168	0.1418575927
169	0.1412662033
170	0.1404170015
171	0.1394988011
172	0.1390107148
173	0.1381967781
174	0.1375593617
175	0.1369849713
176	0.1361094287
177	0.1353259818
178	0.1345585733
179	0.1339378635
180	0.1332531532
181	0.1327245392
182	0.1320375178
183	0.1314163904
184	0.1308811494
185	0.1304053982
186	0.1296608639
187	0.1289222606
188	0.1284263221
189	0.1274943108
190	0.1268925771
191	0.1263778854
192	0.1258150087
193	0.1251049738
194	0.1245394658
195	0.1237736444
196	0.123150373
197	0.1223148429
198	0.121804119
199	0.1213204878
200	0.1206333689
201	0.120150768
202	0.119804438
203	0.1191779366
204	0.1187583199
205	0.11829237
206	0.1177614309
207	0.1171317692
208	0.1166480405
209	0.1158326142
210	0.1154104497
211	0.1149252871
212	0.1145178036
213	0.1140458323
214	0.1133405518
215	0.1128023593
216	0.1122857115
217	0.1117299908
218	0.1111771521
219	0.1104986233
220	0.1098774123
221	0.1094105226
222	0.1091742342
223	0.1088231706
224	0.1084065751
225	0.1079728482
226	0.1077198599
227	0.1073315335
228	0.1069834563
229	0.106667442
230	0.1064065947
231	0.1060728922
232	0.1056184769
233	0.1049565016
234	0.1046266486
235	0.1040368741
236	0.1036567479
237	0.1032773804
238	0.1030009541
239	0.1024443355
240	0.1019685147
241	0.1017104309
242	0.1013043954
243	0.1010026375
244	0.1006870409
245	0.1003739573
246	0.09998322229
247	0.09937674808
248	0.09889217015
249	0.09866172902
250	0.09836844284
251	0.09811697215
252	0.09766534123
253	0.09734073695
254	0.09684199312
